MMSI,선박명,선종코드,IMO,호출부호,DimA,DimB,DimC,DimD,흘수,추정톤수
154,TEST,90,0,0,0,0,0,0,0,0
834888,noname,90,0,0,0,0,0,0,0,0
44304880,noname,30,0,300,8,4,2,2,0,5
100000299,ZHE DAI YU 03537-82,90,0,0,511,1,63,0,0,463769
111111111,noname,51,0,702HAEG,5,5,5,5,0,3
200000000,noname,70,0,0,0,0,0,0,0,0
202000000,ABC,70,9990000,ABCD,144,105,11,28,0,53344
209079000,AAL SHANGHAI,79,9498377,5BUJ4,172,22,20,9,7.2,24521
209351000,NIKOLAY ZUBOV,89,9768526,5BBL5,220,79,31,19,10.6,92364
209423000,MSC DARDANELLES,70,9247754,5BCQ5,225,74,13,27,12.1,92364
209444000,CONTSHIP FOX,70,9507714,5BDA5,137,11,12,12,6.3,10887
209470000,MSC BOSPHORUS,70,9247742,5BDF5,226,74,20,20,9.1,93294
209631000,GRAL. SAN MARTIN,70,9382097,5BGH5,26,150,16,16,8.4,18309
209716000,MSC AQUARIUS,70,9262704,5BJC5,226,74,30,10,12.3,93294
209798000,SYNERGY OAKLAND,71,9450583,5BKE5,195,65,20,12,9.7,60731
209920000,CMA CGM NABUCCO,73,9299630,5BLX5,242,92,17,25,12.1,128745
210102000,NAIAS,70,9611254,5BPL3,197,32,11,21,13.1,41495
210252595,noname,90,0,0,367,236,51,28,3,757606
210267000,KOCHNEV,70,8801620,P3QT3,96,96,96,96,5.3,23770
210418000,AAL DAMPIER,70,9521540,5BZU5,135,14,15,9,7.4,11109
210461000,AAL NANJING,79,9521552,5BAR6,135,14,15,9,7.4,11109
210493000,AAL BANGKOK,70,9521564,5BBJ6,129,20,1,22,6.2,11109
210815000,AAL GUNSAN,70,9393589,5BAW3,148,12,14,13,7.5,13756
210824000,LIAOYINGYU26777,30,0,88858,30,20,6,6,0,396
211108000,BRUSSELS EXPRESS,71,9708784,DIGO2,140,228,20,31,13.2,172200
211111000,RIODEJANEIRO EXPRESS,71,9508902,DGXS2,130,205,33,18,14.8,129905
211112000,MONTEVIDEO EXPRESS,70,9520041,DIIC2,130,205,33,18,10.5,129905
211123000,HANSA NARVIK,71,9151864,DINJ,153,153,153,153,9,99004
211549000,BASLE EXPRESS,71,9501344,DFGN2,141,225,29,19,9.7,169408
211578000,ULSAN EXPRESS,71,9613020,DDOQ2,141,225,29,19,14.2,169408
211839000,CHICAGO EXPRESS,79,9295268,DCUJ2,244,91,21,21,13.2,129905
211882920,BARZAN,71,9708851,DDAS2,156,244,40,19,12.9,221142
211882930,UMM QARN,90,9732333,DIKI2,141,227,16,35,12.6,172200
211886490,AL JMELIYAH,70,9732357,DIFL2,141,227,16,35,13.1,172200
211886500,AL ZUBARA,71,9708875,DDXA2,156,244,25,34,13.3,221142
211886810,AL NASRIYAH,70,9708849,DFGA2,140,228,20,31,12.3,172200
211887410,BUENOS AIRES EXPRESS,70,9932476,DIXP2,130,205,33,18,15.1,129905
211888820,AFIF,74,9732345,DINY2,141,227,16,35,11.9,172200
212125000,UBC SANTOS,70,9376000,5BCS2,140,25,16,11,6.7,15086
