event_id,pilot_mmsi,vessel_mmsi,pilot_ship_name,vessel_ship_name,vessel_ship_type_class,traffic_direction,start_time,meeting_time,end_time,duration_min,meeting_lat,meeting_lon,centroid_lat,centroid_lon,transfer_zone_class,inside_static_zone,inside_embark_zone,inside_disembark_zone,min_distance_m,avg_distance_m,max_distance_m,min_antenna_distance_m,avg_antenna_distance_m,min_center_distance_m,min_domain_clearance_m,avg_rel_speed_kn,avg_heading_diff_deg,course_aligned_share,speed_similar_share,boarding_operation_share,dominant_rule_tag,confidence_score,likely_transfer,escort_phase_duration_min,approach_phase_duration_min,alongside_phase_duration_min,separation_phase_duration_min,opening_distance_5min_after_transfer_m,opening_rate_m_per_min,surrounding_vessel_count_0_5nm,surrounding_vessel_count_1_0nm,nearest_third_vessel_mmsi,nearest_third_vessel_distance_m,nearest_third_vessel_center_cpa_m,nearest_third_vessel_cpa_m,nearest_third_vessel_hull_cpa_m,nearest_third_vessel_domain_clearance_m,nearest_third_vessel_tcpa_min,collision_risk_score,collision_risk_class,depth_m,depth_source,vessel_draft_m,pilot_draft_m,ukc_m,ukc_ratio,ukc_risk_class,in_fairway,fairway_name,dist_to_fairway_edge_m,dist_to_nearest_buoy_m,nearest_buoy_name,nearest_buoy_type,dist_to_breakwater_m,dist_to_restricted_area_m,sea_room_score,navigation_support_score,wind_speed_mps,wind_dir_deg,wave_height_m,visibility_km,tide_height_m,current_speed_kn,current_dir_deg,weather_exposure_score,shelter_score,night_day_flag,local_hour_kst,transfer_side_exposure,escape_corridor_availability,distance_to_open_sea_route_m,time_to_conflict_if_aborted_min,domain_overlap_fixed_hazards,transfer_feasibility_score,go_no_go,go_no_go_reason,required_ship_domain_m2,available_sea_room_m2,domain_clearance_ratio,emergency_turn_feasible,emergency_escape_route_feasible,mob_recovery_feasible,trajectory_restoration_feasible
INT_352003392_440189000_20240508_0110,352003392,440189000,,SM YANTIAN,Cargo,inbound,2024-05-08 01:10:13+00:00,2024-05-08 01:11:50+00:00,2024-05-08 01:27:01+00:00,16.8,35.04772773811792,128.78333803190128,35.0595593528023,128.78657224239822,study_area_other,False,False,False,0.0,166.8267068481224,499.85839060665177,15.143105245616772,236.94009010775767,15.08312309827256,-118.01766738222622,0.9466382070437568,18.23581643543223,0.8226254002134472,0.7976520811099252,0.0,course_aligned_speed_similar,0.8423284299774695,True,3.36,7.56,2.52,3.36,,,0.0,8.0,440192560,1359.0988538688973,345.80869194783946,212.7079014673407,1372.3028547217943,1317.4028541495898,-2.126048024770537,5.448361880238324,medium,18.4,enc_geojson,0.0,,18.4,,safe,False,KR5G3A44_NAVLNE,111.20568814927724,374.59190399885483,Busan New Port East Breakwater West Light,breakwater_light,374.59190399885483,,0.19999999999999996,0.6351725749134297,,,,,,,,1.0,0.925081619200229,day,10,unknown,,,-2.126048024770537,possible,0.8423284299774695,review,hazard_overlap_possible;collision_risk_medium;limited_sea_room,65370.259935896414,3591787.0696394155,54.94527745738819,True,False,False,False
INT_440139260_440189000_20240508_0110,440139260,440189000,KOREA 401,SM YANTIAN,Cargo,inbound,2024-05-08 01:10:14+00:00,2024-05-08 01:12:37+00:00,2024-05-08 01:24:40+00:00,14.433333333333334,35.050824333655186,128.78318457742253,35.06010990200266,128.78633267094472,study_area_other,False,False,False,0.0,170.05730148461487,498.5473812340626,26.41646101316551,248.5020748856556,24.680357262295693,-108.42043321820309,1.1384001724881414,22.20163863734368,0.8016386373436826,0.9064251832686504,0.0,course_aligned_speed_similar,0.8178163929615256,True,2.89,6.5,2.16,2.88,,,0.0,0.0,440400610,1963.7033404416204,391.36334093586976,258.26255045537096,1919.6686551295616,1864.768654557357,-5.859035147511855,5.170776021945913,medium,18.6,enc_geojson,0.0,0.0,18.6,,safe,False,KR5G3A44_NAVLNE,244.0648756324843,502.9099804638511,Busan New Port East Breakwater West Light,breakwater_light,502.9099804638511,,1.0,0.6174580165823355,,,,,,,,1.0,0.8994180039072298,day,10,unknown,,,-5.859035147511855,none,0.8178163929615256,review,collision_risk_medium,65370.259935896414,10775361.208918246,164.83583237216456,True,False,True,False
INT_440118750_563147400_20240508_0209,440118750,563147400,YONG KWANG,PACIFIC SINGAPORE,Cargo,inbound,2024-05-08 02:09:44+00:00,2024-05-08 02:11:01+00:00,2024-05-08 02:37:54+00:00,28.166666666666668,35.04785086751004,128.7842615370559,35.061140755030515,128.7899039178493,study_area_other,False,False,False,0.0,80.29012235470071,499.26612979176184,17.292023763171787,134.2774628783233,14.869220714750668,-105.35438452483794,0.5429634881247785,19.690375753278985,0.7972350230414746,0.3986175115207373,0.2912087912087912,course_aligned_only,0.8570696512269093,True,5.63,12.68,4.22,5.64,,,48.0,117.0,440066260,99.42435885277467,89.44835456630769,-45.63695228733489,89.62855158566923,44.878551585669214,-4.691874446619699,5.629753588390437,high,18.2,enc_geojson,7.300000190734863,0.0,10.899999809265136,1.493150619790309,safe,False,KR5G3A44_RECTRC,209.90903507932134,289.9338444779499,Busan New Port East Breakwater West Light,breakwater_light,289.9338444779499,,0.0,0.5736898212430989,,,,,,,,1.0,0.94201323110441,day,11,unknown,,,-4.691874446619699,possible,0.8570696512269093,no_go,collision_risk_high,104558.4866967755,1616304.181337737,15.458373895799532,True,False,False,False
INT_440005000_255805677_20240508_0229,440005000,255805677,YUNG CHANG T-1,BUXCOAST,Other_Reserved,inbound,2024-05-08 02:29:35+00:00,2024-05-08 02:30:25+00:00,2024-05-08 02:50:45+00:00,21.166666666666668,35.068801279564696,128.81097791384235,35.06834915553321,128.8128487047555,study_area_other,False,False,False,39.18935777821366,158.5274717817805,204.4547321843215,164.7659339380845,224.14324986585495,202.95918442055853,-50.06064222178634,3.165841584158416,26.378465346534657,0.7524752475247525,0.0,0.2772277227722772,course_aligned_only,0.7363323011746559,True,4.23,9.52,3.18,4.24,,,159.0,254.0,440400610,53.38097226338619,157.02760730907798,-109.79494976310153,0.0,-109.69817761126043,0.012493231033861197,6.067415253745833,high,17.8,enc_geojson,7.0,0.0,10.8,1.542857142857143,safe,False,KR5G3A44_NAVLNE,637.7737772056228,2791.3355361112463,Busan New Port East Breakwater East Light,breakwater_light,2791.3355361112463,,0.0,0.36496349637258363,,,,,,,,1.0,0.44173289277775074,day,11,unknown,,,0.012493231033861197,none,0.7363323011746559,no_go,collision_risk_high,565486.6776461628,1616304.181337737,2.8582533333333333,True,False,False,False
INT_440005000_566318000_20240508_0231,440005000,566318000,YUNG CHANG T-1,APL CHONGQING,Cargo,inbound,2024-05-08 02:31:42+00:00,2024-05-08 02:46:16+00:00,2024-05-08 02:49:49+00:00,18.116666666666667,35.068345695356555,128.81554639397925,35.06871497730688,128.81570188354434,study_area_other,False,False,False,69.97752813864747,109.36272147834585,146.91865115766703,231.98076507468625,237.51437071478733,258.42912798915467,-31.5224718613525,0.5392156862745098,64.30784313725489,0.3235294117647059,0.0,0.7058823529411765,boarding_operation,0.679307873095025,True,3.62,8.15,2.72,3.63,,,21.0,27.0,255805677,319.47998406146917,573.3608422385817,83.77415002198825,246.0205558346875,83.77055583468757,,5.86853965526846,high,16.2,enc_geojson,14.300000190734863,0.0,1.899999809265136,0.13286711775683527,critical,False,KR5G3A44_NAVLNE,894.134908190094,3004.677802624522,Busan New Port East Breakwater East Light,breakwater_light,3004.677802624522,,0.0,0.3307820122413208,,,,,,,,1.0,0.3990644394750956,day,11,unknown,,,,none,0.679307873095025,no_go,collision_risk_high;ukc_critical,765298.2535997807,1616304.181337737,2.1119925123767462,True,False,False,False
INT_440104800_248703000_20240508_0233,440104800,248703000,YUNG CHANG 3 HO,CMA CGM JEAN GABRIEL,Cargo,outbound,2024-05-08 02:33:22+00:00,2024-05-08 02:33:22+00:00,2024-05-08 03:03:35+00:00,30.216666666666665,35.0679955734371,128.81006474614676,35.068398533315744,128.8100226732217,study_area_other,False,False,False,55.75718662296797,186.35318612909077,401.7784036330313,251.7707545670856,336.02794059289033,220.13072961705888,-33.04281309092974,1.6888888888888889,46.31444444444445,0.5444444444444444,0.0,0.7111111111111111,boarding_operation,0.7302240830879476,True,16.62,6.04,4.53,3.03,,,165.0,324.0,440400610,163.677094579976,227.43880608304227,-40.0439554580218,66.83883888936353,-23.16116111063647,0.20361254298758388,6.1128487959586275,high,17.9,enc_geojson,11.699999809265137,0.0,6.200000190734862,0.5299145548553882,safe,False,KR5G3A44_RECTRC,677.4353752855789,2670.678375206408,Busan New Port East Breakwater East Light,breakwater_light,2670.678375206408,,0.0,0.3596752832952561,,,,,,,,1.0,0.46586432495871843,day,11,unknown,,,0.20361254298758388,none,0.7302240830879476,no_go,collision_risk_high,565486.6776461628,1616304.181337737,2.8582533333333333,True,False,False,False
INT_440104800_255805677_20240508_0233,440104800,255805677,YUNG CHANG 3 HO,BUXCOAST,Other_Reserved,inbound,2024-05-08 02:33:22+00:00,2024-05-08 02:33:22+00:00,2024-05-08 03:03:35+00:00,30.216666666666665,35.06811370826907,128.81091244083206,35.068727947177806,128.81163102423037,study_area_other,False,False,False,0.0,51.54209926546432,206.11014641807577,0.3554892086493832,109.89211950683928,34.04688556233813,-218.46645267676593,0.6781692993114623,52.09829890643985,0.3730255164034022,0.0,0.7565816119886594,boarding_operation,0.7591917780477927,True,6.04,13.6,4.53,6.05,,,161.0,325.0,440400610,128.1476775562427,154.76319832031126,-112.05935875186825,0.0,-110.39799416549741,0.0515137830714472,6.049284472772924,high,16.8,enc_geojson,7.0,0.0,9.8,1.4000000000000001,safe,False,KR5G3A44_NAVLNE,704.4596086609846,2724.836858962919,Busan New Port East Breakwater East Light,breakwater_light,2724.836858962919,,0.0,0.35607205217853544,,,,,,,,1.0,0.4550326282074162,day,11,unknown,,,0.0515137830714472,none,0.7591917780477927,no_go,collision_risk_high,565486.6776461628,1616304.181337737,2.8582533333333333,True,False,False,False
INT_440104800_566318000_20240508_0233,440104800,566318000,YUNG CHANG 3 HO,APL CHONGQING,Cargo,inbound,2024-05-08 02:33:32+00:00,2024-05-08 02:49:35+00:00,2024-05-08 02:59:56+00:00,26.4,35.06824884800484,128.81410315475154,35.06851489034284,128.81446253167,study_area_other,False,False,False,325.9583993233424,372.8171994911254,381.018833543549,485.4159237420123,491.0688758240987,514.3535110567111,224.90839960944476,0.2330275229357798,11.083486238532108,0.908256880733945,0.0,0.1743119266055046,course_aligned_only,0.6486352050543126,True,5.28,11.88,3.96,5.28,,,37.0,46.0,255805677,187.7024198349306,626.6734032477167,137.0867110311233,299.33823869190286,137.08823869190292,,5.889111209444927,medium,16.0,enc_geojson,14.300000190734863,0.0,1.6999998092651367,0.11888110395736823,critical,False,KR5G3A44_NAVLNE,837.5539415828106,2911.7167788477664,Busan New Port East Breakwater East Light,breakwater_light,2911.7167788477664,,0.0,0.3383261411222919,,,,,,,,1.0,0.4176566442304467,day,11,unknown,,,,none,0.6486352050543126,no_go,ukc_critical,765298.2535997807,1616304.181337737,2.1119925123767462,True,False,False,False
INT_440127410_305784000_20240508_0545,440127410,305784000,PILOT 11 EULSOOKDO,BF  TIGER,Cargo,inbound,2024-05-08 05:45:27+00:00,2024-05-08 05:45:27+00:00,2024-05-08 05:56:08+00:00,10.683333333333334,34.963232349793195,128.82513700593552,34.975736875577894,128.8190174085697,embark,True,True,False,0.0,235.55235267581264,490.54721369290974,12.572533064634,347.8567290746665,16.0745777838306,-163.28670038709603,5.523407407407407,20.5517037037037,0.8977777777777778,0.2533333333333333,0.0,course_aligned_only,0.6536008847736625,True,2.14,4.81,1.6,2.13,,,10.0,30.0,440119040,493.678708723242,248.3001149182895,1.1010873780280122,323.65408238370117,238.45408209759884,-1.7082242413658735,6.169604623533209,high,31.0,enc_geojson,10.899999618530273,24.0,20.100000381469727,1.8440367967810953,safe,False,KR5G3E22_TSSBND,1699.911681223775,9843.813418872807,Busan New Port East Breakwater East Light,breakwater_light,9843.813418872807,,0.0,0.25,,,,,,,,1.0,0.0,day,14,unknown,,,-1.7082242413658735,none,0.6536008847736625,no_go,collision_risk_high,309660.5046790387,1616304.181337737,5.219600681762845,True,False,False,False
INT_373493000_305784000_20240508_0615,373493000,305784000,KING NO.7,BF  TIGER,Cargo,inbound,2024-05-08 06:15:47+00:00,2024-05-08 06:17:30+00:00,2024-05-08 06:29:57+00:00,14.166666666666666,35.052105275397594,128.7844604227917,35.06078473593026,128.7882904676938,study_area_other,False,False,False,0.0,128.67410703092807,499.8075219246174,19.797368119961213,237.94899882372695,23.97589860562979,-183.3811064349078,0.9394871794871794,17.660865384615384,0.7631410256410256,1.0,0.0,course_aligned_speed_similar,0.8277814636752137,True,2.83,6.38,2.12,2.84,,,11.0,122.0,440110070,838.2032261918775,356.7198511234946,180.93824239933417,639.5911273461243,581.3411273461243,2.009272958791466,5.585726157676391,medium,18.2,enc_geojson,10.899999618530273,0.0,7.300000381469726,0.6697248290779333,safe,False,KR5G3A44_NAVLNE,433.6183826246864,536.5099153281103,Busan New Port East Breakwater West Light,breakwater_light,536.5099153281103,,0.0,0.5921842156500419,,,,,,,,1.0,0.8926980169343779,day,15,unknown,,,2.009272958791466,none,0.8277814636752137,review,collision_risk_medium;limited_sea_room,309660.5046790387,1616304.181337737,5.219600681762845,True,False,False,False
