scenario_id,tau_clear_s,psi_clear_deg,distance_at_t0_m,status,entered_hazard,n_entries,n_exits
INT_440184720_477111700_20230901_0420,81.600,8.119,26.707,cleared_after_entry,1,1,1
INT_440155330_218774000_20230901_0555,60.400,7.494,112.722,cleared_after_entry,1,1,1
INT_440412320_440048210_20230901_1520,8.000,0.138,12.777,cleared_after_entry,1,1,1
INT_440155330_416491000_20230901_2046,48.000,4.493,70.880,cleared_after_entry,1,1,1
INT_440008040_440103790_20230902_0352,7.000,0.080,12.298,cleared_after_entry,1,1,1
INT_440127410_636022112_20230902_0940,52.800,6.986,93.700,cleared_after_entry,1,1,1
INT_440008040_563098400_20230902_1116,30.400,1.851,43.832,cleared_after_entry,1,1,1
INT_440008040_414240000_20230902_1143,0.000,0.000,28.111,never_entered,0,0,0
INT_440127410_311655000_20230902_1434,11.800,0.112,18.310,cleared_after_entry,1,1,1
INT_440008040_416491000_20230902_1605,105.200,12.085,70.880,cleared_after_entry,1,1,1
INT_440184720_212347000_20230902_2229,125.400,15.562,83.805,cleared_after_entry,1,1,1
INT_440108150_414240000_20230903_0041,152.000,17.597,28.111,cleared_after_entry,1,1,1
INT_440008040_311703000_20230903_0215,0.000,0.000,18.601,never_entered,0,0,0
INT_440008040_218284000_20230903_0342,0.000,0.000,103.281,never_entered,0,0,0
INT_440155330_440152080_20230903_0524,6.600,0.063,12.298,cleared_after_entry,1,1,1
INT_440008040_563158900_20230903_0717,21.200,0.448,28.302,cleared_after_entry,1,1,1
INT_440127410_373579000_20230903_1618,14.800,0.223,27.735,cleared_after_entry,1,1,1
INT_440127410_440151000_20230903_1639,0.000,0.000,33.170,never_entered,0,0,0
INT_440008040_354021000_20230903_2030,31.400,1.070,28.306,cleared_after_entry,1,1,1
INT_440008040_305126000_20230903_2154,31.000,1.359,34.540,cleared_after_entry,1,1,1
INT_440127410_636014221_20230903_2204,49.200,3.444,96.773,cleared_after_entry,1,1,1
INT_440008040_373183000_20230903_2256,0.000,0.000,113.071,never_entered,0,0,0
INT_440008040_255806233_20230904_0140,50.200,3.457,63.461,cleared_after_entry,1,1,1
INT_440127410_636020701_20230904_0200,15.600,0.216,27.459,cleared_after_entry,1,1,1
INT_440127410_413383270_20230904_0459,35.400,3.156,51.393,cleared_after_entry,1,1,1
