ship_class,loa_bin,fall_side_group,n_total,n_nonzero,p10_nonzero_s,p50_nonzero_s,p90_nonzero_s,p95_nonzero_s,median_draft_m,median_loa_m
Cargo,100-149m,port,770.0,732.0,13.820000000000002,86.69999999999999,126.8,140.48999999999998,6.1,129.0
Cargo,100-149m,starboard,301.0,202.0,12.02,25.5,49.160000000000004,57.18,6.0,130.0
Cargo,150-199m,port,650.0,599.0,20.680000000000003,107.8,144.24,156.3,7.9,175.0
Cargo,150-199m,starboard,241.0,145.0,16.96,29.4,48.2,53.83999999999999,7.9,175.0
Cargo,200-249m,port,395.0,353.0,20.4,100.8,145.32000000000002,153.4,10.0,220.0
Cargo,200-249m,starboard,150.0,96.0,18.2,27.6,49.5,53.550000000000004,9.7,213.0
Cargo,<100m,port,98.0,73.0,15.56,50.8,92.64,99.56,0.0,29.0
Cargo,<100m,starboard,45.0,10.0,7.380000000000001,18.2,39.85999999999996,99.52999999999986,0.0,29.0
Cargo,>=250m,port,1915.0,678.0,45.94,66.1,134.26000000000002,145.06,11.4,330.0
Cargo,>=250m,starboard,408.0,114.0,36.86,44.2,54.760000000000005,61.489999999999995,11.3,331.0
Fishing_Special,200-249m,port,1.0,1.0,43.6,43.6,43.6,43.6,9.0,200.0
Fishing_Special,<100m,port,10.0,9.0,13.52,43.2,65.64,83.31999999999998,0.0,33.0
Fishing_Special,<100m,starboard,7.0,6.0,10.5,13.600000000000001,27.0,27.4,0.0,27.0
Other,<100m,port,1.0,1.0,17.0,17.0,17.0,17.0,0.0,18.0
Other_Reserved,100-149m,port,3.0,3.0,48.480000000000004,76.0,81.76,82.48,0.0,123.0
Other_Reserved,100-149m,starboard,1.0,1.0,24.0,24.0,24.0,24.0,0.0,123.0
Other_Reserved,150-199m,port,1.0,1.0,46.6,46.6,46.6,46.6,7.1,198.0
Other_Reserved,150-199m,starboard,1.0,0.0,,,,,0.0,171.0
Other_Reserved,200-249m,port,5.0,2.0,91.72,122.6,153.48,157.33999999999997,8.9,200.0
Other_Reserved,200-249m,starboard,5.0,3.0,22.599999999999998,27.4,41.32,43.059999999999995,10.8,222.0
Other_Reserved,<100m,port,19.0,19.0,7.0,9.4,25.919999999999995,34.67999999999998,6.0,11.0
Other_Reserved,<100m,starboard,17.0,16.0,7.2,11.0,17.5,18.3,6.0,11.0
Other_Reserved,>=250m,port,8.0,6.0,53.900000000000006,74.3,111.5,115.75,11.6,302.0
Other_Reserved,>=250m,starboard,2.0,0.0,,,,,10.45,336.0
Tanker,100-149m,port,7.0,7.0,103.96000000000001,134.0,139.4,139.4,4.5,108.0
Tanker,100-149m,starboard,1.0,0.0,,,,,6.6,146.0
Tanker,150-199m,port,4.0,3.0,139.6,148.4,171.76,174.68,7.4,183.5
Tanker,150-199m,starboard,1.0,1.0,30.4,30.4,30.4,30.4,7.0,185.0
Tanker,200-249m,port,4.0,3.0,34.24,34.4,36.48,36.74,9.0,200.0
Tanker,200-249m,starboard,11.0,3.0,28.200000000000003,30.6,35.559999999999995,36.18,9.0,200.0
Tanker,<100m,port,105.0,97.0,7.0,31.6,57.2,65.43999999999994,0.0,18.0
Tanker,<100m,starboard,112.0,73.0,6.8,13.0,27.919999999999998,40.75999999999997,0.0,17.0
Tanker,>=250m,port,3.0,3.0,41.24,41.4,49.72,50.76,9.3,290.0
